"cntry","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","ppltrst","pplfair","pplhlp","trstprl","trstlgl","trstplc","trstplt","trstprt","psppsgva","actrolga","psppipla","cptppola","polintr"
"AT",0,0,0,0,0,0,0,0,0,0,5,5,2,4,2,3,2,2,2,4,2,4,3
"AT",0,0,0,0,0,0,0,0,0,0,2,9,5,6,10,10,6,8,3,4,4,4,1
"AT",0,0,0,0,0,0,0,0,0,0,5,4,3,2,5,5,2,2,2,1,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,8,7,10,9,10,10,5,5,2,1,2,1,4
"AT",0,0,0,0,0,0,0,0,0,0,9,9,9,6,5,9,6,3,5,1,1,7,1
"AT",0,0,0,0,0,0,0,0,0,0,5,6,5,88,3,6,3,2,2,2,1,2,3
"AT",0,0,0,0,0,0,0,0,0,0,9,8,9,8,10,10,8,8,3,1,1,2,3
"AT",0,0,0,0,0,0,0,0,0,0,5,8,9,7,7,8,7,7,4,3,2,3,1
"AT",0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,1,0,0,2,3,2,3,2
"AT",0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,7,0,0,4,2,1,4,3
"AT",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,9,0,0,1,1,1,1,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,6,6,7,7,5,4,2,2,3,2,2
"AT",0,0,0,0,0,0,0,0,0,0,6,7,7,6,8,8,3,2,4,2,3,2,1
"AT",0,0,0,0,0,0,0,0,0,0,3,7,8,4,8,9,5,4,1,1,2,1,2
"AT",0,0,0,0,0,0,0,0,0,0,5,6,7,2,9,10,1,2,3,4,3,3,2
"AT",0,0,1,0,0,0,0,0,0,0,6,4,5,9,9,9,0,1,8,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,4,4,4,6,8,7,6,7,2,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,3,10,10,1,3,10,3,3,1,1,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,7,8,8,7,7,8,4,4,3,3,2,4,2
"AT",0,0,0,0,0,0,0,0,0,0,8,8,8,3,5,7,0,0,1,2,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,5,6,6,3,2,6,2,2,2,3,3,3,2
"AT",0,0,0,0,0,0,0,0,0,0,7,8,5,6,8,8,7,7,2,3,2,4,3
"AT",0,0,0,0,0,0,0,0,0,0,6,5,6,4,5,6,5,5,3,3,2,2,2
